"siteID","date","ndvi_mean","ndvi_median","ndvi_sd","evi_mean","evi_median","evi_sd","n_pixels"
"GREN",2015-12-19,0.501,0.501,0,0.195,0.195,0,1
"GREN",2016-01-01,0.501,0.501,0,0.195,0.195,0,1
"GREN",2016-01-17,0.4574,0.4574,0,0.1994,0.1994,0,1
"GREN",2016-02-02,0.4409,0.4409,0,0.1505,0.1505,0,1
"GREN",2016-02-18,0.4243,0.4243,0,0.1817,0.1817,0,1
"GREN",2016-03-05,0.464,0.464,0,0.236,0.236,0,1
"GREN",2016-03-21,0.4384,0.4384,0,0.2064,0.2064,0,1
"GREN",2016-04-06,0.4459,0.4459,0,0.1797,0.1797,0,1
"GREN",2016-04-22,0.434,0.434,0,0.2039,0.2039,0,1
"GREN",2016-05-08,0.8599,0.8599,0,0.6212,0.6212,0,1
"GREN",2016-05-24,0.8984,0.8984,0,0.7204,0.7204,0,1
"GREN",2016-06-09,0.9076,0.9076,0,0.7579,0.7579,0,1
"GREN",2016-06-25,0.874,0.874,0,0.7182,0.7182,0,1
"GREN",2016-07-11,0.9122,0.9122,0,0.6821,0.6821,0,1
"GREN",2016-07-27,0.9012,0.9012,0,0.6395,0.6395,0,1
"GREN",2016-08-12,0.9116,0.9116,0,0.6332,0.6332,0,1
"GREN",2016-08-28,0.9027,0.9027,0,0.6405,0.6405,0,1
"GREN",2016-09-13,0.8844,0.8844,0,0.5861,0.5861,0,1
"GREN",2016-09-29,0.8385,0.8385,0,0.4857,0.4857,0,1
"GREN",2016-10-15,0.6384,0.6384,0,0.3694,0.3694,0,1
"GREN",2016-10-31,0.5787,0.5787,0,0.2738,0.2738,0,1
"GREN",2016-11-16,0.4959,0.4959,0,0.2156,0.2156,0,1
"GREN",2016-12-02,0.5334,0.5334,0,0.1737,0.1737,0,1
"GREN",2016-12-18,0.4114,0.4114,0,0.1056,0.1056,0,1
"GREN",2017-01-01,0.4979,0.4979,0,0.1739,0.1739,0,1
"GREN",2017-01-17,0.0972,0.0972,0,0.0615,0.0615,0,1
"GREN",2017-02-02,0.3904,0.3904,0,0.23,0.23,0,1
"GREN",2017-02-18,0.4521,0.4521,0,0.1847,0.1847,0,1
"GREN",2017-03-06,0.4508,0.4508,0,0.1954,0.1954,0,1
"GREN",2017-03-22,0.4114,0.4114,0,0.1768,0.1768,0,1
"GREN",2017-04-07,0.4403,0.4403,0,0.1826,0.1826,0,1
"GREN",2017-04-23,0.4864,0.4864,0,0.2593,0.2593,0,1
"GREN",2017-05-09,0.8175,0.8175,0,0.5102,0.5102,0,1
"GREN",2017-05-25,0.896,0.896,0,0.7366,0.7366,0,1
"GREN",2017-06-10,0.9111,0.9111,0,0.7539,0.7539,0,1
"GREN",2017-06-26,0.9236,0.9236,0,0.6397,0.6397,0,1
"GREN",2017-07-12,0.917,0.917,0,0.6007,0.6007,0,1
"GREN",2017-07-28,0.9071,0.9071,0,0.6834,0.6834,0,1
"GREN",2017-08-13,0.8768,0.8768,0,0.6709,0.6709,0,1
"GREN",2017-08-29,0.8751,0.8751,0,0.6075,0.6075,0,1
"GREN",2017-09-14,0.849,0.849,0,0.5012,0.5012,0,1
"GREN",2017-09-30,0.8186,0.8186,0,0.4551,0.4551,0,1
"GREN",2017-10-16,0.7877,0.7877,0,0.4079,0.4079,0,1
"GREN",2017-11-01,0.5378,0.5378,0,0.2437,0.2437,0,1
"GREN",2017-11-17,0.5477,0.5477,0,0.2115,0.2115,0,1
"GREN",2017-12-03,0.4557,0.4557,0,0.1694,0.1694,0,1
"GREN",2017-12-19,0.4733,0.4733,0,0.2507,0.2507,0,1
"GREN",2018-01-01,0.4907,0.4907,0,0.1716,0.1716,0,1
"GREN",2018-01-17,0.4847,0.4847,0,0.196,0.196,0,1
"GREN",2018-02-02,0.4561,0.4561,0,0.1967,0.1967,0,1
"GREN",2018-02-18,0.4582,0.4582,0,0.1602,0.1602,0,1
"GREN",2018-03-06,0.1369,0.1369,0,0.0765,0.0765,0,1
"GREN",2018-03-22,0.4413,0.4413,0,0.17,0.17,0,1
"GREN",2018-04-07,0.4153,0.4153,0,0.2107,0.2107,0,1
"GREN",2018-04-23,0.5769,0.5769,0,0.3217,0.3217,0,1
"GREN",2018-05-09,0.8572,0.8572,0,0.6886,0.6886,0,1
"GREN",2018-05-25,0.9191,0.9191,0,0.6942,0.6942,0,1
"GREN",2018-06-10,0.9127,0.9127,0,0.7613,0.7613,0,1
"GREN",2018-06-26,0.9136,0.9136,0,0.6783,0.6783,0,1
"GREN",2018-07-12,0.9126,0.9126,0,0.5894,0.5894,0,1
"GREN",2018-07-28,0.8933,0.8933,0,0.6858,0.6858,0,1
"GREN",2018-08-13,0.8971,0.8971,0,0.675,0.675,0,1
"GREN",2018-08-29,0.9052,0.9052,0,0.6166,0.6166,0,1
"GREN",2018-09-14,0.8955,0.8955,0,0.489,0.489,0,1
"GREN",2018-09-30,0.8335,0.8335,0,0.562,0.562,0,1
"GREN",2018-10-16,0.8099,0.8099,0,0.414,0.414,0,1
"GREN",2018-11-01,0.555,0.555,0,0.2103,0.2103,0,1
"GREN",2018-11-17,0.3927,0.3927,0,0.1852,0.1852,0,1
"GREN",2018-12-03,0.4917,0.4917,0,0.1851,0.1851,0,1
"GREN",2018-12-19,0.5049,0.5049,0,0.1645,0.1645,0,1
"GREN",2019-01-01,0.4789,0.4789,0,0.2081,0.2081,0,1
"GREN",2019-01-17,0.4233,0.4233,0,0.1699,0.1699,0,1
"GREN",2019-02-02,0.4634,0.4634,0,0.1593,0.1593,0,1
"GREN",2019-02-18,0.1208,0.1208,0,0.0841,0.0841,0,1
"GREN",2019-03-06,0.4139,0.4139,0,0.1682,0.1682,0,1
"GREN",2019-03-22,0.4318,0.4318,0,0.2064,0.2064,0,1
"GREN",2019-04-07,0.4325,0.4325,0,0.2099,0.2099,0,1
"GREN",2019-04-23,0.6349,0.6349,0,0.4005,0.4005,0,1
"GREN",2019-05-09,0.8867,0.8867,0,0.5612,0.5612,0,1
